tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
2018-01-01,76.0,31.0,38.0,35.0,9.0,76.0,PM10,SEDANG,DKI4
2018-01-02,23.0,31.0,24.0,39.0,14.0,39.0,O3,BAIK,DKI3
2018-01-03,53.0,35.0,35.0,101.0,23.0,101.0,O3,TIDAK SEHAT,DKI3
2018-01-04,53.0,49.0,34.0,57.0,15.0,57.0,O3,SEDANG,DKI3
2018-01-05,44.0,32.0,26.0,28.0,10.0,44.0,PM10,BAIK,DKI4
2018-01-06,20.0,30.0,22.0,31.0,5.0,31.0,O3,BAIK,DKI5
2018-01-07,26.0,30.0,14.0,46.0,5.0,46.0,O3,BAIK,DKI5
2018-01-08,62.0,33.0,19.0,73.0,17.0,73.0,O3,SEDANG,DKI5
2018-01-09,45.0,32.0,16.0,63.0,14.0,63.0,O3,SEDANG,DKI3
2018-01-10,42.0,34.0,16.0,95.0,17.0,95.0,O3,SEDANG,DKI5
2018-01-11,40.0,38.0,18.0,81.0,19.0,81.0,O3,SEDANG,DKI5
2018-01-12,37.0,33.0,18.0,83.0,17.0,83.0,O3,SEDANG,DKI5
2018-01-13,51.0,30.0,17.0,93.0,21.0,93.0,O3,SEDANG,DKI5
2018-01-14,33.0,72.0,17.0,73.0,14.0,73.0,O3,SEDANG,DKI5
2018-01-15,30.0,72.0,19.0,70.0,12.0,72.0,SO2,SEDANG,DKI4
2018-01-16,25.0,70.0,19.0,61.0,10.0,70.0,SO2,SEDANG,DKI4
2018-01-17,35.0,52.0,19.0,60.0,13.0,60.0,O3,SEDANG,DKI5
2018-01-18,41.0,52.0,22.0,56.0,15.0,56.0,O3,SEDANG,DKI5
2018-01-19,46.0,51.0,29.0,48.0,19.0,51.0,SO2,SEDANG,DKI4
2018-01-20,27.0,51.0,18.0,38.0,7.0,51.0,SO2,SEDANG,DKI4
2018-01-21,25.0,51.0,18.0,40.0,8.0,51.0,SO2,SEDANG,DKI4
2018-01-22,26.0,52.0,17.0,32.0,6.0,52.0,SO2,SEDANG,DKI4
2018-01-23,28.0,52.0,17.0,57.0,9.0,57.0,O3,SEDANG,DKI5
2018-01-24,33.0,53.0,20.0,86.0,19.0,86.0,O3,SEDANG,DKI5
2018-01-25,26.0,53.0,22.0,51.0,15.0,53.0,SO2,SEDANG,DKI4
2018-01-26,21.0,53.0,19.0,41.0,7.0,53.0,SO2,SEDANG,DKI4
2018-01-27,27.0,54.0,19.0,63.0,6.0,63.0,O3,SEDANG,DKI5
2018-01-28,34.0,55.0,20.0,52.0,6.0,55.0,SO2,SEDANG,DKI4
2018-01-29,22.0,54.0,18.0,39.0,7.0,54.0,SO2,SEDANG,DKI4
2018-01-30,27.0,41.0,22.0,41.0,7.0,41.0,SO2,BAIK,DKI5
2018-01-31,28.0,54.0,21.0,58.0,12.0,58.0,O3,SEDANG,DKI5
2018-02-01,44.0,43.0,37.0,73.0,13.0,73.0,O3,SEDANG,DKI5
2018-02-02,47.0,45.0,56.0,68.0,12.0,68.0,O3,SEDANG,DKI3
2018-02-03,42.0,44.0,35.0,59.0,12.0,59.0,O3,SEDANG,DKI5
2018-02-04,35.0,47.0,35.0,57.0,12.0,57.0,O3,SEDANG,DKI5
2018-02-05,31.0,46.0,32.0,66.0,9.0,66.0,O3,SEDANG,DKI5
2018-02-06,45.0,48.0,71.0,75.0,16.0,75.0,O3,SEDANG,DKI5
2018-02-07,42.0,50.0,60.0,89.0,14.0,89.0,O3,SEDANG,DKI5
2018-02-08,55.0,49.0,62.0,89.0,22.0,89.0,O3,SEDANG,DKI5
2018-02-09,53.0,24.0,88.0,65.0,14.0,88.0,CO,SEDANG,DKI5
2018-02-10,43.0,24.0,52.0,58.0,16.0,58.0,O3,SEDANG,DKI5
2018-02-11,48.0,25.0,39.0,56.0,12.0,56.0,O3,SEDANG,DKI5
2018-02-12,50.0,21.0,56.0,70.0,12.0,70.0,O3,SEDANG,DKI5
2018-02-13,57.0,21.0,32.0,75.0,13.0,75.0,O3,SEDANG,DKI5
2018-02-14,60.0,22.0,27.0,80.0,17.0,80.0,O3,SEDANG,DKI5
2018-02-15,55.0,22.0,63.0,58.0,15.0,63.0,CO,SEDANG,DKI5
2018-02-16,22.0,22.0,23.0,68.0,14.0,68.0,O3,SEDANG,DKI5
2018-02-17,53.0,24.0,23.0,48.0,14.0,53.0,PM10,SEDANG,DKI4
2018-02-18,40.0,23.0,23.0,80.0,9.0,80.0,O3,SEDANG,DKI5
2018-02-19,45.0,24.0,20.0,65.0,14.0,65.0,O3,SEDANG,DKI5
2018-02-20,52.0,32.0,35.0,62.0,14.0,62.0,O3,SEDANG,DKI5
2018-02-21,57.0,26.0,22.0,66.0,26.0,66.0,O3,SEDANG,DKI2
2018-02-22,53.0,26.0,66.0,47.0,19.0,66.0,CO,SEDANG,DKI5
2018-02-23,64.0,26.0,88.0,61.0,14.0,88.0,CO,SEDANG,DKI5
2018-02-24,47.0,23.0,22.0,76.0,11.0,76.0,O3,SEDANG,DKI3
2018-02-25,48.0,26.0,20.0,91.0,11.0,91.0,O3,SEDANG,DKI5
2018-02-26,46.0,25.0,33.0,80.0,15.0,80.0,O3,SEDANG,DKI5
2018-02-27,47.0,25.0,42.0,64.0,17.0,64.0,O3,SEDANG,DKI3
2018-02-28,56.0,28.0,56.0,80.0,16.0,80.0,O3,SEDANG,DKI3
2018-03-01,72.0,24.0,40.0,126.0,19.0,126.0,O3,TIDAK SEHAT,DKI5
2018-03-02,51.0,29.0,34.0,146.0,17.0,146.0,O3,TIDAK SEHAT,DKI2
2018-03-03,62.0,30.0,37.0,109.0,18.0,109.0,O3,TIDAK SEHAT,DKI5
2018-03-04,60.0,30.0,64.0,194.0,19.0,194.0,O3,TIDAK SEHAT,DKI5
2018-03-05,61.0,23.0,48.0,79.0,20.0,79.0,O3,SEDANG,DKI5
2018-03-06,64.0,28.0,30.0,103.0,16.0,103.0,O3,TIDAK SEHAT,DKI3
2018-03-07,66.0,26.0,48.0,76.0,21.0,76.0,O3,SEDANG,DKI3
2018-03-08,55.0,29.0,47.0,107.0,22.0,107.0,O3,TIDAK SEHAT,DKI5
2018-03-09,59.0,30.0,59.0,81.0,27.0,81.0,O3,SEDANG,DKI5
2018-03-10,60.0,25.0,27.0,54.0,12.0,60.0,PM10,SEDANG,DKI3
2018-03-11,56.0,25.0,18.0,63.0,10.0,63.0,O3,SEDANG,DKI5
2018-03-12,39.0,24.0,20.0,46.0,9.0,46.0,O3,BAIK,DKI5
2018-03-13,49.0,28.0,20.0,61.0,8.0,61.0,O3,SEDANG,DKI3
2018-03-14,62.0,31.0,20.0,89.0,11.0,89.0,O3,SEDANG,DKI3
2018-03-15,68.0,37.0,24.0,136.0,30.0,136.0,O3,TIDAK SEHAT,DKI2
2018-03-16,75.0,30.0,20.0,191.0,15.0,191.0,O3,TIDAK SEHAT,DKI5
2018-03-17,71.0,32.0,24.0,155.0,20.0,155.0,O3,TIDAK SEHAT,DKI5
2018-03-18,72.0,31.0,54.0,195.0,14.0,195.0,O3,TIDAK SEHAT,DKI5
2018-03-19,50.0,27.0,21.0,156.0,15.0,156.0,O3,TIDAK SEHAT,DKI5
2018-03-20,51.0,29.0,23.0,202.0,22.0,202.0,O3,SANGAT TIDAK SEHAT,DKI5
2018-03-21,62.0,25.0,31.0,87.0,14.0,87.0,O3,SEDANG,DKI2
2018-03-22,30.0,25.0,18.0,51.0,9.0,51.0,O3,SEDANG,DKI3
2018-03-23,75.0,44.0,49.0,94.0,21.0,94.0,O3,SEDANG,DKI5
2018-03-24,66.0,30.0,23.0,55.0,17.0,66.0,PM10,SEDANG,DKI1
2018-03-25,36.0,24.0,16.0,64.0,19.0,64.0,O3,SEDANG,DKI2
2018-03-26,51.0,27.0,24.0,90.0,19.0,90.0,O3,SEDANG,DKI2
2018-03-27,41.0,24.0,20.0,94.0,7.0,94.0,O3,SEDANG,DKI2
2018-03-28,75.0,31.0,42.0,195.0,26.0,195.0,O3,TIDAK SEHAT,DKI2
2018-03-29,71.0,34.0,26.0,129.0,19.0,129.0,O3,TIDAK SEHAT,DKI2
2018-03-30,56.0,30.0,34.0,105.0,30.0,105.0,O3,TIDAK SEHAT,DKI2
2018-03-31,39.0,48.0,15.0,67.0,8.0,67.0,O3,SEDANG,DKI5
2018-04-01,45.0,25.0,17.0,57.0,13.0,57.0,O3,SEDANG,DKI5
2018-04-02,46.0,27.0,18.0,57.0,19.0,57.0,O3,SEDANG,DKI5
2018-04-03,50.0,26.0,27.0,80.0,26.0,80.0,O3,SEDANG,DKI5
2018-04-04,45.0,28.0,20.0,96.0,28.0,96.0,O3,SEDANG,DKI5
2018-04-05,81.0,37.0,29.0,202.0,18.0,202.0,O3,SANGAT TIDAK SEHAT,DKI5
2018-04-06,56.0,29.0,21.0,144.0,12.0,144.0,O3,TIDAK SEHAT,DKI5
2018-04-07,68.0,31.0,29.0,74.0,12.0,74.0,O3,SEDANG,DKI3
2018-04-08,45.0,28.0,16.0,51.0,12.0,51.0,O3,SEDANG,DKI3
2018-04-09,53.0,33.0,20.0,85.0,11.0,85.0,O3,SEDANG,DKI3
2018-04-10,52.0,36.0,19.0,66.0,15.0,66.0,O3,SEDANG,DKI3
2018-04-11,71.0,33.0,23.0,92.0,13.0,92.0,O3,SEDANG,DKI3
2018-04-12,69.0,58.0,16.0,57.0,14.0,69.0,PM10,SEDANG,DKI2
2018-04-13,54.0,56.0,16.0,121.0,11.0,121.0,O3,TIDAK SEHAT,DKI5
2018-04-14,51.0,22.0,21.0,141.0,12.0,141.0,O3,TIDAK SEHAT,DKI5
2018-04-15,59.0,27.0,23.0,168.0,13.0,168.0,O3,TIDAK SEHAT,DKI5
2018-04-16,65.0,33.0,27.0,185.0,18.0,185.0,O3,TIDAK SEHAT,DKI5
2018-04-17,63.0,26.0,24.0,142.0,16.0,142.0,O3,TIDAK SEHAT,DKI5
2018-04-18,81.0,29.0,26.0,80.0,23.0,81.0,PM10,SEDANG,DKI4
2018-04-19,86.0,27.0,33.0,133.0,22.0,133.0,O3,TIDAK SEHAT,DKI5
2018-04-20,76.0,24.0,30.0,92.0,18.0,92.0,O3,SEDANG,DKI5
2018-04-21,73.0,26.0,43.0,162.0,25.0,162.0,O3,TIDAK SEHAT,DKI5
2018-04-22,70.0,26.0,29.0,117.0,18.0,117.0,O3,TIDAK SEHAT,DKI5
2018-04-23,51.0,22.0,30.0,84.0,16.0,84.0,O3,SEDANG,DKI5
2018-04-24,61.0,23.0,33.0,90.0,34.0,90.0,O3,SEDANG,DKI5
2018-04-25,69.0,23.0,37.0,48.0,18.0,69.0,PM10,SEDANG,DKI1
2018-04-26,71.0,30.0,34.0,56.0,25.0,71.0,PM10,SEDANG,DKI1
2018-04-27,62.0,23.0,22.0,48.0,16.0,62.0,PM10,SEDANG,DKI2
2018-04-28,57.0,25.0,23.0,96.0,16.0,96.0,O3,SEDANG,DKI5
2018-04-29,67.0,23.0,26.0,120.0,18.0,120.0,O3,TIDAK SEHAT,DKI5
2018-04-30,78.0,24.0,29.0,89.0,22.0,89.0,O3,SEDANG,DKI4
2018-05-01,73.0,25.0,19.0,101.0,18.0,101.0,O3,TIDAK SEHAT,DKI5
2018-05-02,88.0,25.0,22.0,183.0,18.0,183.0,O3,TIDAK SEHAT,DKI5
2018-05-03,103.0,27.0,23.0,166.0,20.0,166.0,O3,TIDAK SEHAT,DKI5
2018-05-04,91.0,27.0,46.0,164.0,23.0,164.0,O3,TIDAK SEHAT,DKI5
2018-05-05,78.0,26.0,27.0,137.0,17.0,137.0,O3,TIDAK SEHAT,DKI5
2018-05-06,70.0,26.0,17.0,109.0,15.0,109.0,O3,TIDAK SEHAT,DKI5
2018-05-07,68.0,27.0,17.0,77.0,16.0,77.0,O3,SEDANG,DKI5
2018-05-08,79.0,26.0,21.0,204.0,17.0,204.0,O3,SANGAT TIDAK SEHAT,DKI5
2018-05-09,93.0,27.0,21.0,156.0,20.0,156.0,O3,TIDAK SEHAT,DKI5
2018-05-10,73.0,25.0,18.0,107.0,15.0,107.0,O3,TIDAK SEHAT,DKI5
2018-05-11,74.0,27.0,16.0,83.0,18.0,83.0,O3,SEDANG,DKI5
2018-05-12,103.0,27.0,29.0,144.0,21.0,144.0,O3,TIDAK SEHAT,DKI5
2018-05-13,96.0,26.0,26.0,131.0,14.0,131.0,O3,TIDAK SEHAT,DKI5
2018-05-14,87.0,26.0,20.0,178.0,13.0,178.0,O3,TIDAK SEHAT,DKI5
2018-05-15,94.0,27.0,25.0,143.0,17.0,143.0,O3,TIDAK SEHAT,DKI5
2018-05-16,87.0,28.0,23.0,151.0,16.0,151.0,O3,TIDAK SEHAT,DKI5
2018-05-17,65.0,25.0,19.0,80.0,16.0,80.0,O3,SEDANG,DKI3
2018-05-18,78.0,26.0,26.0,86.0,11.0,86.0,O3,SEDANG,DKI5
2018-05-19,59.0,24.0,13.0,102.0,10.0,102.0,O3,TIDAK SEHAT,DKI5
2018-05-20,61.0,25.0,29.0,98.0,12.0,98.0,O3,SEDANG,DKI5
2018-05-21,60.0,25.0,20.0,185.0,16.0,185.0,O3,TIDAK SEHAT,DKI5
2018-05-22,58.0,25.0,14.0,80.0,10.0,80.0,O3,SEDANG,DKI5
2018-05-23,58.0,26.0,12.0,74.0,12.0,74.0,O3,SEDANG,DKI5
2018-05-24,42.0,25.0,12.0,94.0,10.0,94.0,O3,SEDANG,DKI5
2018-05-25,66.0,26.0,22.0,92.0,11.0,92.0,O3,SEDANG,DKI5
2018-05-26,71.0,29.0,24.0,119.0,13.0,119.0,O3,TIDAK SEHAT,DKI5
2018-05-27,62.0,26.0,23.0,156.0,10.0,156.0,O3,TIDAK SEHAT,DKI5
2018-05-28,81.0,24.0,55.0,120.0,33.0,120.0,O3,TIDAK SEHAT,DKI2
2018-05-29,84.0,31.0,21.0,118.0,20.0,118.0,O3,TIDAK SEHAT,DKI5
2018-05-30,86.0,25.0,24.0,191.0,20.0,191.0,O3,TIDAK SEHAT,DKI5
2018-05-31,83.0,28.0,21.0,183.0,20.0,183.0,O3,TIDAK SEHAT,DKI2
2018-06-01,75.0,27.0,30.0,115.0,15.0,115.0,O3,TIDAK SEHAT,DKI5
2018-06-02,78.0,26.0,14.0,86.0,18.0,86.0,O3,SEDANG,DKI5
2018-06-03,82.0,26.0,16.0,145.0,17.0,145.0,O3,TIDAK SEHAT,DKI5
2018-06-04,73.0,27.0,11.0,125.0,19.0,125.0,O3,TIDAK SEHAT,DKI5
2018-06-05,69.0,26.0,13.0,146.0,14.0,146.0,O3,TIDAK SEHAT,DKI5
2018-06-06,78.0,26.0,16.0,133.0,13.0,133.0,O3,TIDAK SEHAT,DKI5
2018-06-07,79.0,25.0,21.0,179.0,18.0,179.0,O3,TIDAK SEHAT,DKI5
2018-06-08,68.0,27.0,16.0,162.0,17.0,162.0,O3,TIDAK SEHAT,DKI5
2018-06-09,100.0,27.0,39.0,167.0,22.0,167.0,O3,TIDAK SEHAT,DKI5
2018-06-10,75.0,27.0,28.0,203.0,17.0,203.0,O3,SANGAT TIDAK SEHAT,DKI2
2018-06-11,74.0,27.0,14.0,169.0,14.0,169.0,O3,TIDAK SEHAT,DKI2
2018-06-12,67.0,26.0,18.0,161.0,13.0,161.0,O3,TIDAK SEHAT,DKI2
2018-06-13,64.0,25.0,30.0,163.0,16.0,163.0,O3,TIDAK SEHAT,DKI5
2018-06-14,56.0,25.0,18.0,144.0,7.0,144.0,O3,TIDAK SEHAT,DKI5
2018-06-15,60.0,26.0,21.0,161.0,8.0,161.0,O3,TIDAK SEHAT,DKI2
2018-06-16,61.0,37.0,31.0,139.0,17.0,139.0,O3,TIDAK SEHAT,DKI2
2018-06-17,49.0,27.0,11.0,88.0,8.0,88.0,O3,SEDANG,DKI5
2018-06-18,51.0,27.0,10.0,75.0,10.0,75.0,O3,SEDANG,DKI5
2018-06-19,60.0,26.0,13.0,97.0,10.0,97.0,O3,SEDANG,DKI5
2018-06-20,73.0,26.0,16.0,86.0,10.0,86.0,O3,SEDANG,DKI5
2018-06-21,51.0,27.0,11.0,70.0,5.0,70.0,O3,SEDANG,DKI5
2018-06-22,66.0,28.0,17.0,94.0,13.0,94.0,O3,SEDANG,DKI5
2018-06-23,81.0,27.0,14.0,77.0,10.0,81.0,PM10,SEDANG,DKI4
2018-06-24,50.0,25.0,15.0,110.0,10.0,110.0,O3,TIDAK SEHAT,DKI5
2018-06-25,35.0,25.0,14.0,100.0,11.0,100.0,O3,SEDANG,DKI5
2018-06-26,56.0,26.0,43.0,107.0,23.0,107.0,O3,TIDAK SEHAT,DKI2
2018-06-27,60.0,26.0,23.0,136.0,19.0,136.0,O3,TIDAK SEHAT,DKI5
2018-06-28,69.0,27.0,24.0,146.0,10.0,146.0,O3,TIDAK SEHAT,DKI5
2018-06-29,73.0,28.0,18.0,213.0,20.0,213.0,O3,SANGAT TIDAK SEHAT,DKI5
2018-06-30,67.0,30.0,17.0,193.0,15.0,193.0,O3,TIDAK SEHAT,DKI2
2018-07-01,96.0,28.0,27.0,205.0,20.0,205.0,O3,SANGAT TIDAK SEHAT,DKI5
2018-07-02,79.0,29.0,28.0,142.0,20.0,142.0,O3,TIDAK SEHAT,DKI5
2018-07-03,79.0,29.0,23.0,166.0,16.0,166.0,O3,TIDAK SEHAT,DKI2
2018-07-04,104.0,31.0,24.0,209.0,19.0,209.0,O3,SANGAT TIDAK SEHAT,DKI2
2018-07-05,63.0,29.0,16.0,123.0,13.0,123.0,O3,TIDAK SEHAT,DKI5
2018-07-06,74.0,31.0,16.0,113.0,19.0,113.0,O3,TIDAK SEHAT,DKI5
2018-07-07,95.0,32.0,32.0,104.0,24.0,104.0,O3,TIDAK SEHAT,DKI5
2018-07-08,95.0,29.0,32.0,111.0,22.0,111.0,O3,TIDAK SEHAT,DKI2
2018-07-09,69.0,29.0,17.0,116.0,17.0,116.0,O3,TIDAK SEHAT,DKI5
2018-07-10,87.0,29.0,19.0,124.0,16.0,124.0,O3,TIDAK SEHAT,DKI2
2018-07-11,73.0,32.0,17.0,129.0,20.0,129.0,O3,TIDAK SEHAT,DKI2
2018-07-12,74.0,32.0,16.0,117.0,18.0,117.0,O3,TIDAK SEHAT,DKI5
2018-07-13,80.0,30.0,17.0,107.0,18.0,107.0,O3,TIDAK SEHAT,DKI2
2018-07-14,84.0,33.0,19.0,117.0,19.0,117.0,O3,TIDAK SEHAT,DKI2
2018-07-15,63.0,29.0,14.0,129.0,11.0,129.0,O3,TIDAK SEHAT,DKI2
2018-07-16,61.0,33.0,14.0,222.0,18.0,222.0,O3,SANGAT TIDAK SEHAT,DKI5
2018-07-17,81.0,30.0,20.0,205.0,19.0,205.0,O3,SANGAT TIDAK SEHAT,DKI5
2018-07-18,88.0,29.0,25.0,208.0,20.0,208.0,O3,SANGAT TIDAK SEHAT,DKI5
2018-07-19,82.0,30.0,19.0,188.0,19.0,188.0,O3,TIDAK SEHAT,DKI5
2018-07-20,79.0,30.0,16.0,113.0,18.0,113.0,O3,TIDAK SEHAT,DKI5
2018-07-21,74.0,32.0,14.0,151.0,16.0,151.0,O3,TIDAK SEHAT,DKI5
2018-07-22,77.0,29.0,22.0,166.0,15.0,166.0,O3,TIDAK SEHAT,DKI5
2018-07-23,63.0,25.0,23.0,191.0,22.0,191.0,O3,TIDAK SEHAT,DKI5
2018-07-24,92.0,32.0,23.0,184.0,22.0,184.0,O3,TIDAK SEHAT,DKI5
2018-07-25,75.0,29.0,23.0,153.0,17.0,153.0,O3,TIDAK SEHAT,DKI5
2018-07-26,78.0,33.0,22.0,168.0,20.0,168.0,O3,TIDAK SEHAT,DKI5
2018-07-27,86.0,31.0,19.0,197.0,18.0,197.0,O3,TIDAK SEHAT,DKI5
2018-07-28,92.0,32.0,31.0,234.0,20.0,234.0,O3,SANGAT TIDAK SEHAT,DKI5
2018-07-29,77.0,30.0,23.0,202.0,20.0,202.0,O3,SANGAT TIDAK SEHAT,DKI5
2018-07-30,92.0,31.0,23.0,174.0,27.0,174.0,O3,TIDAK SEHAT,DKI5
2018-07-31,79.0,29.0,22.0,156.0,21.0,156.0,O3,TIDAK SEHAT,DKI5
2018-08-01,86.0,31.0,21.0,129.0,24.0,129.0,O3,TIDAK SEHAT,
2018-08-02,68.0,31.0,18.0,207.0,20.0,207.0,O3,SANGAT TIDAK SEHAT,
2018-08-03,68.0,32.0,16.0,211.0,17.0,211.0,O3,SANGAT TIDAK SEHAT,
2018-08-04,59.0,31.0,16.0,194.0,16.0,194.0,O3,TIDAK SEHAT,
2018-08-05,65.0,35.0,14.0,203.0,16.0,203.0,O3,SANGAT TIDAK SEHAT,
2018-08-06,71.0,34.0,13.0,202.0,23.0,202.0,O3,SANGAT TIDAK SEHAT,
2018-08-07,79.0,35.0,21.0,162.0,25.0,162.0,O3,TIDAK SEHAT,
2018-08-08,92.0,33.0,28.0,144.0,29.0,144.0,O3,TIDAK SEHAT,
2018-08-09,75.0,37.0,22.0,186.0,18.0,186.0,O3,TIDAK SEHAT,
2018-08-10,65.0,33.0,18.0,165.0,17.0,165.0,O3,TIDAK SEHAT,
2018-08-11,69.0,31.0,17.0,126.0,19.0,126.0,O3,TIDAK SEHAT,
2018-08-12,77.0,31.0,20.0,127.0,15.0,127.0,O3,TIDAK SEHAT,
2018-08-13,66.0,30.0,14.0,134.0,14.0,134.0,O3,TIDAK SEHAT,
2018-08-14,74.0,31.0,19.0,151.0,13.0,151.0,O3,TIDAK SEHAT,
